1.15.0.52124
i(202256),	-- Privateer's Ornate Pistol
i(226893),	-- Beastmaster's Coif
i(226894),	-- Beastmaster's Fists
i(226895),	-- Beastmaster's Greaves
i(226896),	-- Beastmaster's Chain
i(226897),	-- Beastmaster's Wrists
i(226898),	-- Beastmaster's Waist
i(226899),	-- Beastmaster's Shoulders
i(226900),	-- Beastmaster's Legs
i(226901),	-- Beastmaster's Helm
i(226902),	-- Beastmaster's Gloves
i(226903),	-- Beastmaster's Boots
i(226904),	-- Beastmaster's Chest
i(226905),	-- Deathmist Belt
i(226906),	-- Deathmist Robe
i(226907),	-- Deathmist Bracers
i(226908),	-- Deathmist Sandals
i(226909),	-- Deathmist Mask
i(226910),	-- Deathmist Leggings
i(226911),	-- Deathmist Wraps
i(226912),	-- Deathmist Mantle
i(226913),	-- Deathmist Bindings
i(226914),	-- Deathmist Cord
i(226915),	-- Deathmist Epaulets
i(226916),	-- Deathmist Pants
i(226917),	-- Deathmist Hood
i(226918),	-- Deathmist Grasps
i(226919),	-- Deathmist Treads
i(226920),	-- Deathmist Embrace
i(226921),	-- Deathmist Wrists
i(226922),	-- Deathmist Waist
i(226923),	-- Deathmist Shoulders
i(226924),	-- Deathmist Legs
i(226925),	-- Deathmist Helm
i(226926),	-- Deathmist Gloves
i(226927),	-- Deathmist Boots
i(226928),	-- Deathmist Chest
i(226929),	-- Sorcerer's Bindings
i(226930),	-- Sorcerer's Gauntlets
i(226931),	-- Sorcerer's Sandals
i(226932),	-- Sorcerer's Robes
i(226933),	-- Sorcerer's Leggings
i(226934),	-- Sorcerer's Belt
i(226935),	-- Sorcerer's Crown
i(226936),	-- Sorcerer's Mantle
i(226937),	-- Sorcerer's Wrists
i(226938),	-- Sorcerer's Waist
i(226939),	-- Sorcerer's Shoulders
i(226940),	-- Sorcerer's Legs
i(226941),	-- Sorcerer's Helm
i(226942),	-- Sorcerer's Gloves
i(226943),	-- Sorcerer's Boots
i(226944),	-- Sorcerer's Chest
i(226945),	-- Virtuous Robe
i(226946),	-- Virtuous Skirt
i(226947),	-- Virtuous Crown
i(226948),	-- Virtuous Belt
i(226949),	-- Virtuous Bracers
i(226950),	-- Virtuous Mitts
i(226951),	-- Virtuous Mantle
i(226952),	-- Virtuous Sandals
i(226953),	-- Virtuous Wraps
i(226954),	-- Virtuous Cord
i(226955),	-- Virtuous Epaulets
i(226956),	-- Virtuous Leggings
i(226957),	-- Virtuous Cowl
i(226958),	-- Virtuous Hands
i(226959),	-- Virtuous Slippers
i(226960),	-- Virtuous Gown
i(226961),	-- Virtuous Wrists
i(226962),	-- Virtuous Waist
i(226963),	-- Virtuous Shoulders
i(226964),	-- Virtuous Legs
i(226965),	-- Virtuous Helm
i(226966),	-- Virtuous Gloves
i(226967),	-- Virtuous Boots
i(226968),	-- Virtuous Chest
i(226969),	-- Soulforge Spaulders
i(226970),	-- Soulforge Bracers
i(226971),	-- Soulforge Belt
i(226972),	-- Soulforge Legplates
i(226973),	-- Soulforge Breastplate
i(226974),	-- Soulforge Warboots
i(226975),	-- Soulforge Gauntlets
i(226976),	-- Soulforge Greathelm
i(226977),	-- Soulforge Bindings
i(226978),	-- Soulforge Cord
i(226979),	-- Soulforge Epaulets
i(226980),	-- Soulforge Leggings
i(226981),	-- Soulforge Crown
i(226982),	-- Soulforge Fists
i(226983),	-- Soulforge Treads
i(226984),	-- Soulforge Embrace
i(226985),	-- Soulforge Wristguards
i(226986),	-- Soulforge Waistguard
i(226987),	-- Soulforge Pauldrons
i(226988),	-- Soulforge Legguards
i(226989),	-- Soulforge Faceguard
i(226990),	-- Soulforge Handguards
i(226991),	-- Soulforge Sabatons
i(226992),	-- Soulforge Chestguards
i(226993),	-- Soulforge Wrists
i(226994),	-- Soulforge Waist
i(226995),	-- Soulforge Shoulders
i(226996),	-- Soulforge Legs
i(226997),	-- Soulforge Helm
i(226998),	-- Soulforge Gloves
i(226999),	-- Soulforge Boots
i(227000),	-- Soulforge Chest
i(227001),	-- Bindings of The Five Thunders
i(227002),	-- Coif of The Five Thunders
i(227003),	-- Pauldrons of The Five Thunders
i(227004),	-- Vest of The Five Thunders
i(227005),	-- Kilt of The Five Thunders
i(227006),	-- Gauntlets of The Five Thunders
i(227007),	-- Slippers of The Five Thunders
i(227008),	-- Cord of The Five Thunders
i(227009),	-- Bracers of The Five Thunders
i(227010),	-- Sash of The Five Thunders
i(227011),	-- Mantle of The Five Thunders
i(227012),	-- Leggings of The Five Thunders
i(227013),	-- Crown of The Five Thunders
i(227014),	-- Grasp of The Five Thunders
i(227015),	-- Greaves of The Five Thunders
i(227016),	-- Tunic of The Five Thunders
i(227017),	-- Bands of The Five Thunders
i(227018),	-- Girdle of The Five Thunders
i(227019),	-- Spaulders of The Five Thunders
i(227020),	-- Legplates of The Five Thunders
i(227021),	-- Face of The Five Thunders
i(227022),	-- Fists of The Five Thunders
i(227023),	-- Treads of The Five Thunders
i(227024),	-- Chain of The Five Thunders
i(227025),	-- Wristguards of The Five Thunders
i(227026),	-- Waistguard of The Five Thunders
i(227027),	-- Shoulderguards of The Five Thunders
i(227028),	-- Legguards of The Five Thunders
i(227029),	-- Headpiece of The Five Thunders
i(227030),	-- Handguards of The Five Thunders
i(227031),	-- Sabatons of The Five Thunders
i(227032),	-- Chestguard of The Five Thunders
i(227033),	-- Wrists of The Five Thunders
i(227034),	-- Waist of The Five Thunders
i(227035),	-- Shoulders of The Five Thunders
i(227036),	-- Legs of The Five Thunders
i(227037),	-- Helm of The Five Thunders
i(227038),	-- Gloves of The Five Thunders
i(227039),	-- Boots of The Five Thunders
i(227040),	-- Chest of The Five Thunders
i(227041),	-- Scourge Shadow Scalpel
i(227042),	-- Champion's Plate Shoulders
i(227043),	-- Champion's Plate Helm
i(227044),	-- Lieutenant Commander's Plate Helm
i(227045),	-- Lieutenant Commander's Plate Shoulders
i(227046),	-- Knight-Captain's Plate Hauberk
i(227047),	-- Knight-Captain's Plate Leggings
i(227048),	-- Legionnaire's Plate Leggings
i(227049),	-- Legionnaire's Plate Hauberk
i(227050),	-- Blood Guard's Plate Gauntlets
i(227051),	-- Blood Guard's Plate Greaves
i(227052),	-- Knight-Lieutenant's Plate Greaves
i(227053),	-- Knight-Lieutenant's Plate Gauntlets
i(227054),	-- Lieutenant Commander's Leather Shoulders
i(227055),	-- Lieutenant Commander's Leather Helm
i(227056),	-- Champion's Leather Shoulders
i(227057),	-- Champion's Leather Helm
i(227058),	-- Knight-Captain's Leather Chestpiece
i(227059),	-- Legionnaire's Leather Legguards
i(227060),	-- Legionnaire's Leather Chestpiece
i(227061),	-- Knight-Captain's Leather Legguards
i(227062),	-- Blood Guard's Leather Walkers
i(227063),	-- Blood Guard's Leather Grips
i(227064),	-- Knight-Lieutenant's Leather Walkers
i(227065),	-- Knight-Lieutenant's Leather Grips
i(227066),	-- Lieutenant Commander's Chain Helm
i(227067),	-- Champion's Chain Helm
i(227068),	-- Lieutenant Commander's Chain Shoulders
i(227069),	-- Champion's Chain Shoulders
i(227070),	-- Knight-Captain's Chain Hauberk
i(227071),	-- Legionnaire's Chain Hauberk
i(227072),	-- Knight-Captain's Chain Legguards
i(227073),	-- Legionnaire's Chain Legguards
i(227074),	-- Blood Guard's Chain Greaves
i(227075),	-- Blood Guard's Chain Vices
i(227076),	-- Knight-Lieutenant's Chain Greaves
i(227077),	-- Knight-Lieutenant's Chain Vices
i(227078),	-- Champion's Chain Pauldrons
i(227079),	-- Legionnaire's Chain Legplates
i(227080),	-- Champion's Chain Greathelm
i(227081),	-- Blood Guard's Chain Grips
i(227082),	-- Blood Guard's Chain Sabatons
i(227083),	-- Legionnaire's Chain Armor
i(227084),	-- Lieutenant Commander's Chain Pauldrons
i(227085),	-- Knight-Captain's Chain Legplates
i(227086),	-- Lieutenant Commander's Chain Greathelm
i(227087),	-- Knight-Lieutenant's Chain Grips
i(227088),	-- Knight-Lieutenant's Chain Sabatons
i(227089),	-- Knight-Captain's Chain Armor
i(227090),	-- Champion's Dreadweave Cowl
i(227091),	-- Lieutenant Commander's Dreadweave Spaulders
i(227092),	-- Champion's Dreadweave Spaulders
i(227093),	-- Lieutenant Commander's Dreadweave Cowl
i(227094),	-- Legionnaire's Dreadweave Tunic
i(227095),	-- Knight-Captain's Dreadweave Legguards
i(227096),	-- Knight-Captain's Dreadweave Tunic
i(227097),	-- Legionnaire's Dreadweave Legguards
i(227098),	-- Blood Guard's Dreadweave Walkers
i(227099),	-- Blood Guard's Dreadweave Handwraps
i(227100),	-- Knight-Lieutenant's Dreadweave Handwraps
i(227101),	-- Knight-Lieutenant's Dreadweave Walkers
i(227102),	-- Lieutenant Commander's Silk Mantle
i(227103),	-- Lieutenant Commander's Silk Cowl
i(227104),	-- Champion's Silk Mantle
i(227105),	-- Champion's Silk Cowl
i(227106),	-- Legionnaire's Silk Tunic
i(227107),	-- Legionnaire's Silk Legguards
i(227108),	-- Knight-Captain's Silk Tunic
i(227109),	-- Knight-Captain's Silk Legguards
i(227110),	-- Blood Guard's Silk Walkers
i(227111),	-- Blood Guard's Silk Handwraps
i(227112),	-- Knight-Lieutenant's Silk Walkers
i(227113),	-- Knight-Lieutenant's Silk Handwraps
i(227114),	-- Knight-Lieutenant's Silk Gauntlets
i(227115),	-- Blood Guard's Silk Gauntlets
i(227116),	-- Knight-Lieutenant's Silk Gloves
i(227117),	-- Blood Guard's Silk Gloves
i(227118),	-- Champion's Satin Hood
i(227119),	-- Lieutenant Commander's Satin Mantle
i(227120),	-- Champion's Satin Mantle
i(227121),	-- Lieutenant Commander's Satin Hood
i(227122),	-- Knight-Captain's Satin Tunic
i(227123),	-- Legionnaire's Satin Legguards
i(227124),	-- Legionnaire's Satin Tunic
i(227125),	-- Knight-Captain's Satin Legguards
i(227126),	-- Blood Guard's Satin Handwraps
i(227127),	-- Blood Guard's Satin Walkers
i(227128),	-- Knight-Lieutenant's Satin Handwraps
i(227129),	-- Knight-Lieutenant's Satin Walkers
i(227130),	-- Champion's Satin Epaulets
i(227131),	-- Legionnaire's Satin Leggings
i(227132),	-- Champion's Satin Crown
i(227133),	-- Blood Guard's Satin Grips
i(227134),	-- Blood Guard's Satin Treads
i(227135),	-- Legionnaire's Satin Robe
i(227136),	-- Lieutenant Commander's Satin Epaulets
i(227137),	-- Knight-Captain's Satin Leggings
i(227138),	-- Lieutenant Commander's Satin Crown
i(227139),	-- Knight-Lieutenant's Satin Grips
i(227140),	-- Knight-Lieutenant's Satin Treads
i(227141),	-- Knight-Captain's Satin Robe
i(227142),	-- Knight-Captain's Lamellar Breastplate
i(227143),	-- Knight-Captain's Lamellar Leggings
i(227144),	-- Lieutenant Commander's Lamellar Headguard
i(227145),	-- Lieutenant Commander's Lamellar Shoulders
i(227146),	-- Knight-Lieutenant's Lamellar Sabatons
i(227147),	-- Knight-Lieutenant's Lamellar Gauntlets
i(227148),	-- Lieutenant Commander's Lamellar Pauldrons
i(227149),	-- Lieutenant Commander's Lamellar Helmet
i(227150),	-- Knight-Captain's Lamellar Legguards
i(227151),	-- Knight-Captain's Lamellar Chestplate
i(227152),	-- Knight-Lieutenant's Lamellar Gloves
i(227153),	-- Knight-Lieutenant's Lamellar Greaves
i(227154),	-- Champion's Mail Pauldrons
i(227155),	-- Champion's Mail Headguard
i(227156),	-- Legionnaire's Mail Legguards
i(227157),	-- Legionnaire's Mail Hauberk
i(227158),	-- Blood Guard's Mail Greaves
i(227159),	-- Blood Guard's Mail Vices
i(227160),	-- Champion's Mail Spaulders
i(227161),	-- Legionnaire's Mail Leggings
i(227162),	-- Champion's Mail Helm
i(227163),	-- Blood Guard's Mail Gauntlets
i(227164),	-- Blood Guard's Mail Sabatons
i(227165),	-- Legionnaire's Mail Breastplate
i(227166),	-- Champion's Mail Epaulets
i(227167),	-- Legionnaire's Mail Pants
i(227168),	-- Champion's Mail Skullcap
i(227169),	-- Blood Guard's Mail Gloves
i(227170),	-- Blood Guard's Mail Boots
i(227171),	-- Legionnaire's Mail Chestguard
i(227172),	-- Lieutenant Commander's Dragonhide Shoulders
i(227173),	-- Lieutenant Commander's Dragonhide Headguard
i(227174),	-- Champion's Dragonhide Headguard
i(227175),	-- Champion's Dragonhide Shoulders
i(227176),	-- Knight-Captain's Dragonhide Chestpiece
i(227177),	-- Legionnaire's Dragonhide Leggings
i(227178),	-- Knight-Captain's Dragonhide Leggings
i(227179),	-- Legionnaire's Dragonhide Chestpiece
i(227180),	-- Blood Guard's Dragonhide Grips
i(227181),	-- Blood Guard's Dragonhide Treads
i(227182),	-- Knight-Lieutenant's Dragonhide Treads
i(227183),	-- Knight-Lieutenant's Dragonhide Grips
i(227184),	-- Champion's Dragonhide Spaulders
i(227185),	-- Legionnaire's Dragonhide Pants
i(227186),	-- Champion's Dragonhide Helm
i(227187),	-- Blood Guard's Dragonhide Gloves
i(227188),	-- Blood Guard's Dragonhide Boots
i(227189),	-- Legionnaire's Dragonhide Armor
i(227190),	-- Lieutenant Commander's Dragonhide Spaulders
i(227191),	-- Knight-Captain's Dragonhide Pants
i(227192),	-- Lieutenant Commander's Dragonhide Helm
i(227193),	-- Knight-Lieutenant's Dragonhide Gloves
i(227194),	-- Knight-Lieutenant's Dragonhide Boots
i(227195),	-- Knight-Captain's Dragonhide Armor
i(227196),	-- Knight-Captain's Dragonhide Tunic
i(227197),	-- Knight-Lieutenant's Dragonhide Greaves
i(227198),	-- Knight-Lieutenant's Dragonhide Gauntlets
i(227199),	-- Lieutenant Commander's Dragonhide Headdress
i(227200),	-- Knight-Captain's Dragonhide Legguards
i(227201),	-- Lieutenant Commander's Dragonhide Pauldrons
i(227202),	-- Legionnaire's Dragonhide Tunic
i(227203),	-- Blood Guard's Dragonhide Greaves
i(227204),	-- Blood Guard's Dragonhide Gauntlets
i(227205),	-- Champion's Dragonhide Headdress
i(227206),	-- Legionnaire's Dragonhide Legguards
i(227207),	-- Champion's Dragonhide Pauldrons
i(227285),	-- Structural Dynamics of Flow
i(227286),	-- Warmed Rumsey Rum with Cream
i(227337),	-- Feline Gloves and Belt Set
i(227338),	-- Astral Gloves and Belt Set
i(227339),	-- Guardian's Gloves and Belt Set
i(227340),	-- Mender's Gloves and Belt Set
i(227341),	-- Pursuer's Gloves and Belt Set
i(227342),	-- Prowler's Gloves and Belt Set
i(227343),	-- Merciful Gloves and Belt Set
i(227344),	-- Radiant Gloves and Belt Set
i(227345),	-- Divine Will Gloves and Belt Set
i(227346),	-- Dawn Gloves and Belt Set
i(227347),	-- Twilight Gloves and Belt Set
i(227348),	-- Thrill's Gloves and Belt Set
i(227349),	-- Battle's Gloves and Belt Set
i(227350),	-- Relief's Gloves and Belt Set
i(227351),	-- Eruption's Gloves and Belt Set
i(227352),	-- Impact's Gloves and Belt Set
i(227353),	-- Resolve's Gloves and Belt Set
i(227354),	-- Corrupted Gloves and Belt Set
i(227355),	-- Wicked Gloves and Belt Set
i(227356),	-- Immoveable Gloves and Belt Set
i(227357),	-- Unstoppable Gloves and Belt Set
i(227359),	-- Feline Boots, Legs, and Shoulders Set
i(227360),	-- Astral Boots, Legs, and Shoulders Set
i(227361),	-- Guardian's Boots, Legs, and Shoulders Set
i(227365),	-- Mender's Boots, Legs, and Shoulders Set
i(227366),	-- Pursuer's Boots, Legs, and Shoulders Set
i(227367),	-- Prowler's Boots, Legs, and Shoulders Set
i(227368),	-- Merciful Boots, Legs, and Shoulders Set
i(227369),	-- Radiant Boots, Legs, and Shoulders Set
i(227370),	-- Divine Will Boots, Legs, and Shoulders Set
i(227371),	-- Dawn Boots, Legs, and Shoulders Set
i(227372),	-- Twilight Boots, Legs, and Shoulders Set
i(227373),	-- Thrill's Boots, Legs, and Shoulders Set
i(227374),	-- Battle's Boots, Legs, and Shoulders Set
i(227375),	-- Relief's Boots, Legs, and Shoulders Set
i(227376),	-- Eruption's Boots, Legs, and Shoulders Set
i(227377),	-- Impact's Boots, Legs, and Shoulders Set
i(227378),	-- Resolve's Boots, Legs, and Shoulders Set
i(227379),	-- Corrupted Boots, Legs, and Shoulders Set
i(227380),	-- Wicked Boots, Legs, and Shoulders Set
i(227381),	-- Immoveable Boots, Legs, and Shoulders Set
i(227382),	-- Unstoppable Boots, Legs, and Shoulders Set
i(227383),	-- Feline Helm and Chestpiece Set
i(227384),	-- Astral Helm and Chestpiece Set
i(227385),	-- Guardian's Helm and Chestpiece Set
i(227387),	-- Mender's Helm and Chestpiece Set
i(227388),	-- Pursuer's Helm and Chestpiece Set
i(227389),	-- Prowler's Helm and Chestpiece Set
i(227390),	-- Merciful Helm and Chestpiece Set
i(227391),	-- Radiant Helm and Chestpiece Set
i(227392),	-- Divine Will Helm and Chestpiece Set
i(227393),	-- Dawn Helm and Chestpiece Set
i(227394),	-- Twilight Helm and Chestpiece Set
i(227395),	-- Thrill's Helm and Chestpiece Set
i(227396),	-- Battle's Helm and Chestpiece Set
i(227397),	-- Relief's Helm and Chestpiece Set
i(227398),	-- Eruption's Helm and Chestpiece Set
i(227399),	-- Impact's Helm and Chestpiece Set
i(227400),	-- Resolve's Helm and Chestpiece Set
i(227401),	-- Corrupted Helm and Chestpiece Set
i(227402),	-- Wicked Helm and Chestpiece Set
i(227403),	-- Immoveable Helm and Chestpiece Set
i(227404),	-- Unstoppable Helm and Chestpiece Set
i(227444),	-- Idol of the Huntress
i(227451),	-- Sending Sigil
i(227456),	-- Rune of the Crimson Tempest \\ Rune of Crimson Tempest
i(227549),	-- Scrap of Parchment
i(227552),	-- Shredded Parchment
i(227685),	-- Modified Shadow Scalpel
i(227686),	-- Ornate Warhammer
i(227687),	-- Orthas' Favorite Gold Tooth
i(227689),	-- Partially-Digested Plate Armor
i(227690),	-- Necrotic Runestone
i(227724),	-- Bloodstained Commendation
i(227730),	-- Thorium Brotherhood Contract
1.15.3.55244
i(227743),	-- Obsidian Power Core
i(227745),	-- Family Heirloom
i(227746),	-- Rune of the World Tree
i(227747),	-- Family Records
i(227748),	-- Survivor Journal
i(227749),	-- Rune of the Falling Star
i(227767),	-- Flamestone Cluster
i(227768),	-- Dreamjuice
i(227806),	-- Wisdom of the Timbermaw
i(227811),	-- Defender of the Timbermaw
i(227812),	-- Furbolg Medicine Pouch
i(227845),	-- Refined Arcanite Reaper
i(227847),	-- Devilcore Leggings
i(227848),	-- Devilcore Gauntlets
i(227850),	-- Sageblade of the Archmagus
i(227855),	-- Synthetic Gordok Ogre Suit
i(227856),	-- Synthetic Gordok Ogre Suit
i(227858),	-- Hammer of the Wild Gods
i(227860),	-- Incandescent Mooncloth Vest
i(227863),	-- Incandescent Mooncloth Circlet
i(227864),	-- Incandescent Mooncloth Leggings
i(227873),	-- Honed Blue Dragonscale Shoulders
i(227874),	-- Honed Blue Dragonscale Leggings
i(227875),	-- Honed Blue Dragonscale Breastplate
i(227877),	-- Living Green Dragonscale Leggings
i(227878),	-- Living Green Dragonscale Gauntlets
i(227879),	-- Living Green Dragonscale Breastplate
i(227885),	-- Stronger-hold Gauntlets
i(227887),	-- Hardened Frostguard
i(227895),	-- Pattern: Golden Mantle of the Dawn
i(227896),	-- Pattern: Argent Boots
i(227897),	-- Pattern: Argent Shoulders
i(227898),	-- Pattern: Honed Blue Dragonscale Breastplate
i(227899),	-- Pattern: Honed Blue Dragonscale Shoulders
i(227900),	-- Pattern: Living Green Dragonscale Leggings
i(227912),	-- Applied Divinity
i(227914),	-- Owlbeast Pineal Gland
i(227915),	-- Duke's Domain
i(227921),	-- Rune of Knives
i(227922),	-- Rune of the Swashbuckler
i(227923),	-- Water Treads
i(227925),	-- Beacon of Hydraxis
i(227926),	-- Hydraxian Coronation
i(227927),	-- Oath of the Sea
i(227928),	-- Toolbox Key
i(227930),	-- Safe Box Key
i(227931),	-- Hidden Bundle
i(227932),	-- Rusty Crowbar
i(227936),	-- Diplomat Ring
i(227937),	-- Puzzle Box
i(227938),	-- Shard of Light
i(227939),	-- Shard of Light
i(227942),	-- Serpentine Skuller
i(227943),	-- Verek's Collar
i(227944),	-- Verek's Leash
i(227945),	-- Soot Encrusted Footwear
i(227946),	-- Rubidium Hammer
i(227947),	-- Golem Fitted Pauldrons
i(227949),	-- Force of Magma
i(227950),	-- Stone of the Earth
i(227951),	-- Bloodfist
i(227953),	-- The Hammer of Grace
i(227954),	-- Boreal Mantle
i(227966),	-- Naglering
i(227968),	-- Rockfist
i(227969),	-- Chief Architect's Monocle
i(227975),	-- Golem Skull Helm
i(227976),	-- Libram of Truth
i(227977),	-- Totem of Rage
i(227979),	-- Hands of the Exalted Herald
i(227989),	-- Hand of Justice
i(227992),	-- Death Knight Sabatons
i(227995),	-- Cadaverous Armor
i(228035),	-- Lord Blackwood's Buckler
i(228043),	-- Boots of the Shrieker
i(228048),	-- Libram of Divinity
i(228049),	-- Totem of Sustaining
i(228105),	-- Everburning Flame Core \\ Molten Orb
i(228114),	-- Plans: Refined Arcanite Reaper
i(228115),	-- Pattern: Synthetic Gordok Ogre Suit
i(228116),	-- Pattern: Synthetic Gordok Ogre Suit
i(228117),	-- Plans: Refined Arcanite Champion
i(228118),	-- Plans: Stronger-hold Gauntlets
i(228119),	-- Pattern: Devilcore Gauntlets
i(228120),	-- Pattern: Devilcore Leggings
i(228122),	-- The Molten Core
i(228123),	-- Jubilant Epiphany
i(228124),	-- Oneiric Epiphany
i(228125),	-- Refined Arcanite Champion
i(228129),	-- Shadowflame Skull
i(228130),	-- Altruist Ward
i(228131),	-- Altruist Ward
i(228132),	-- Undead Potatoes
i(228133),	-- Magma or Lava?
i(228134),	-- Northern Kalimdor - A Comprehensive Guide
i(228135),	-- A Study of the Light
i(228136),	-- Ka-Boom!
i(228138),	-- The Knight and the Lady
i(228140),	-- Scourge: Undead Menace or Misunderstood?
i(228141),	-- Necromancy 101
i(228143),	-- Shadowflame Sword
i(228144),	-- Strange Note
i(228164),	-- Personal Ballista
i(228167),	-- Whelpling-Head Trophy
i(228191),	-- Shimmering Molten Mineral
i(228227),	-- Scroll of Overwhelming Power \\ Aggrend's Scroll of Overwhelming Power
i(228230),	-- Refined Hammer of the Titans
i(228251),	-- Pattern: Living Green Dragonscale Gauntlets \\ Pattern: Living Green Dragonscale Leggings
1.15.3.55348
i(225929),	-- Plagued Soul Shard
i(225938),	-- Torn Spell Notes
i(225939),	-- Torn Spell Notes
i(225940),	-- Torn Spell Notes
i(225941),	-- Torn Spell Notes
i(225954),	-- Charred Spell Notes
i(227658),	-- Shadowsworn Note
i(227796),	-- Mysterious Darnassian Scroll
i(227797),	-- Deciphered Darnassian Scroll
i(227924),	-- Unusual Flask
i(228305),	-- Plans: Refined Hammer of the Titans
i(228309),	-- Pattern: Living Green Dragonscale Breastplate
i(228310),	-- Plans: Hardened Frostguard
i(228318),	-- Pattern: Incandescent Mooncloth Leggings
i(228323),	-- Copper Slaughter Coin
i(228324),	-- Gold Slaughter Coin
i(228325),	-- Silver Slaughter Coin
i(228326),	-- Satchel of Copper Slaughter Coins
i(228327),	-- Satchel of Silver Slaughter Coins
i(228498),	-- Dreadblade of the Destructor
i(228615),	-- Otherworldly Treasure
1.15.3.55391
i(228688),	-- Head of Onyxia
i(228689),	-- Head of Onyxia
i(228696),	-- Heated Ancient Blade
i(228697),	-- Treated Ancient Blade
i(228719),	-- TEST ROGUE PANTS
1.15.3.55515
i(228749),	-- Splinter of Nordrassil
i(228797),	-- Grimoire of Fel Armor
1.15.3.55563
i(227688),	-- Gorehowl
i(228746),	-- Fluorescent Green Mechanostrider
i(228747),	-- Reins of the Golden Sabercat
i(228748),	-- Whistle of the Mottled Blood Raptor
i(228912),	-- Artifact Storage Key
1.15.3.55646
i(228994),	-- Bottomless Bag
1.15.3.55917
i(208222),	-- Old Guard Retaliator
i(228978),	-- Enchanted Sigil: Flowing Waters
i(228979),	-- Enchanted Sigil: Flowing Waters
i(229055),	-- Frayed Aranasi Silk
i(229056),	-- Pumice Chunk
i(229057),	-- Impounded Goods
i(229378),	-- Magmadar's Right Claw
i(229382),	-- Hyperthermically Insulated Lava Dredger
1.15.3.56488
i(220610),	-- Rune of Mental Dexterity
i(220612),	-- Rune of Tidal Waves
i(220613),	-- Rune of Rolling Thunder
i(220614),	-- Rune of Static Shock
i(220616),	-- Rune of Overcharged
i(220617),	-- Rune of Pandemic
i(220618),	-- Rune of Immolation Aura
i(225686),	-- Rune of Decimation
i(225687),	-- Rune of Infernal Armor
i(225688),	-- Rune of Mark of Chaos
i(225689),	-- Spell Notes: Arcane Barrage
i(225690),	-- Spell Notes: Frozen Orb
i(225691),	-- Spell Notes: Overheat
1.15.4.56400
i(224122),	-- Dream Eater
i(224279),	-- Terrestris
i(224280),	-- Suzerain, Defender of the Dragonflights
i(224281),	-- Gla'sir
i(224282),	-- Rae'lar
i(229362),	-- Storehouse Key
i(229415),	-- Survival Supplies
i(229416),	-- Warm Fur
i(229749),	-- Truthbearer
i(229806),	-- Truthbearer
i(229894),	-- Dream Emerald
i(229897),	-- Scroll: Create Signet of Beckoning
i(229909),	-- Staff of Order
i(229911),	-- Caius' Dream Eater
i(229964),	-- Demon Lord's Hoof
i(229965),	-- The Eye of Az'olgothal
i(229966),	-- Torque of the Silver Hand
i(229971),	-- Staff of Inferno
i(229972),	-- Staff of Rime
i(230003),	-- Hammer of the Lightbringer
i(230018),	-- Mannoroc Orb Fragments
i(230751),	-- Ninja Obi
i(230854),	-- Band of Servitude
i(230855),	-- Seal of the Gurubashi Berserker
i(230856),	-- Belt of Untapped Power
i(230857),	-- Blooddrenched Mask
i(230858),	-- Cloak of the Hakkari Worshipers
i(230859),	-- Gloves of the Tormented
i(230860),	-- Might of the Tribe
i(230861),	-- Sacrificial Gauntlets
i(230862),	-- Zulian Headdress
i(230863),	-- Zulian Scepter of Rites
i(230864),	-- Runed Bloodstained Hauberk
i(230865),	-- Fang of Venoxis
i(230866),	-- Blooddrenched Footpads
i(230867),	-- Zanzil's Band
i(230868),	-- Zulian Stone Axe
i(230903),	-- Scroll: Essence of Fire
i(230908),	-- Imbued Essence of Fire
i(230909),	-- Depleted Essence of Fire
i(230911),	-- Jeklik's Crusher
i(230912),	-- Animist's Spaulders
i(230913),	-- Jeklik's Opaline Talisman
i(230914),	-- Peacekeeper Boots
i(230915),	-- Primalist's Band
i(230916),	-- Seafury Boots
i(230917),	-- Flowing Ritual Robes
i(230918),	-- Mar'li's Touch
i(230919),	-- Bloodstained Greaves
i(230920),	-- Mar'li's Eye
i(230921),	-- Band of Jin
i(230922),	-- Talisman of Protection
i(230923),	-- Betrayer's Boots
i(230925),	-- Thekal's Grasp
i(230926),	-- Peacekeeper Leggings
i(230927),	-- Ritualistic Legguards
i(230928),	-- Seafury Leggings
i(230929),	-- Seal of Jin
i(230930),	-- Zulian Slicer
i(230934),	-- Arlokk's Grasp
i(230939),	-- Will of Arlokk
i(230941),	-- Arlokk's Hoodoo Stick
i(230942),	-- Bloodsoaked Greaves
i(230943),	-- Overlord's Onyx Band
i(230944),	-- Panther Hide Sack
i(230946),	-- Scroll: SEENECS FO ROFTS
i(230947),	-- Scroll: Essence of Frost
i(230948),	-- Imbued Essence of Frost
i(230949),	-- Depleted Essence of Frost
i(230984),	-- Incomplete Staff of Order
i(230989),	-- Bloodlord's Defender
i(230991),	-- Halberd of Smiting
i(230992),	-- Warblade of the Hakkari
i(230993),	-- Mandokir's Sting
i(230994),	-- Animist's Leggings
i(230995),	-- Blooddrenched Grips
i(230996),	-- Bloodsoaked Pauldrons
i(230997),	-- Bloodtinged Kilt
i(230998),	-- Hakkari Loa Cloak
i(230999),	-- Overlord's Crimson Band
i(231000),	-- Primalist's Seal
i(231001),	-- Zanzil's Seal
i(231002),	-- Jin'do's Hexxer
i(231003),	-- Jin'do's Evil Eye
i(231004),	-- Jin'do's Judgement
i(231005),	-- Jin'do's Bag of Whammies
