Title_lang,Description_lang,Reward_lang,Flags,Instance_ID,Supercedes,Category,Ui_order,Shares_criteria,Faction,Points,Minimum_criteria,ID,IconFileID,Criteria_tree
"Eye of the Storm Killing Blows","Eye of the Storm Killing Blows",,1,-1,0,137,13,0,-1,0,0,1498,136243,8084
"Strand of the Ancients Killing Blows","Strand of the Ancients Killing Blows",,1,-1,0,137,14,0,-1,0,0,1499,136243,7830
"Deaths in Strand of the Ancients","Deaths in Strand of the Ancients",,1,-1,0,124,5,0,-1,0,0,1500,136243,3772
"Total deaths from other players","Total deaths from other players",,1,-1,0,21,1,0,-1,0,0,1501,136243,5849
"Quick Cap","Grab the flag and capture it in under 75 seconds.",,0,489,0,14804,17,0,0,10,0,1502,236353,4752
"Ingvar the Plunderer kills (Heroic Utgarde Keep)","Ingvar the Plunderer kills (Heroic Utgarde Keep)",,1,574,0,14823,2,0,-1,5,0,1504,133112,10550
"Keristrasza kills (Heroic Nexus)","Keristrasza kills (Heroic Nexus)",,1,576,0,14823,4,0,-1,5,0,1505,135840,8676
"Anub'arak kills (Heroic Azjol-Nerub)","Anub'arak kills (Heroic Azjol-Nerub)",,1,601,0,14823,6,0,-1,5,0,1506,135442,3095
"Herald Volazj kills (Heroic Ahn'kahet)","Herald Volazj kills (Heroic Ahn'kahet)",,1,619,0,14823,8,0,-1,5,0,1507,134321,8428
"The Prophet Tharon'ja kills (Heroic Drak'Tharon Keep)","The Prophet Tharon'ja kills (Heroic Drak'Tharon Keep)",,1,600,0,14823,10,0,-1,5,0,1508,135198,10673
"Cyanigosa kills (Heroic Violet Hold)","Cyanigosa kills (Heroic Violet Hold)",,1,608,0,14823,12,0,-1,5,0,1509,135440,839
"Gal'darah kills (Heroic Gundrak)","Gal'darah kills (Heroic Gundrak)",,1,604,0,14823,14,0,-1,5,0,1510,135004,3388
"Sjonnir the Ironshaper kills (Heroic Halls of Stone)","Sjonnir the Ironshaper kills (Heroic Halls of Stone)",,1,599,0,14823,16,0,-1,5,0,1511,134448,9674
"Loken kills (Heroic Halls of Lightning)","Loken kills (Heroic Halls of Lightning)",,1,602,0,14823,18,0,-1,5,0,1512,135990,1452
"Ley-Guardian Eregos kills (Heroic Oculus)","Ley-Guardian Eregos kills (Heroic Oculus)",,1,578,0,14823,20,0,-1,5,0,1513,135834,6969
"King Ymiron kills (Heroic Utgarde Pinnacle)","King Ymiron kills (Heroic Utgarde Pinnacle)",,1,575,0,14823,22,0,-1,5,0,1514,133560,12353
"Mal'Ganis defeated (Heroic CoT: Stratholme)","Mal'Ganis defeated (Heroic CoT: Stratholme)",,1,595,0,14823,24,0,-1,5,0,1515,136002,3222
"Accomplished Angler","Complete the fishing achievements listed below.","Title Reward: Salty",143360,-1,0,171,48,0,-1,10,0,1516,136245,3235
"Northrend Angler","Catch a fish in each of the specific nodes listed below.",,0,571,0,171,21,0,-1,10,0,1517,236574,5438
"Fish caught","Fish caught",,1,-1,0,178,10,0,-1,0,0,1518,136243,3226
"Fishing skill","Fishing skill",,1,-1,0,178,8,0,-1,0,0,1519,136243,2068
"Cooking skill","Cooking skill",,1,-1,0,178,1,0,-1,0,0,1524,136243,2768
"Cooking daily quests completed","Cooking daily quests completed",,9,-1,0,178,2,0,-1,10,0,1525,133778,5249
"Fishing daily quests completed","Fishing daily quests completed",,1,-1,0,178,14,0,-1,10,0,1526,132931,14287
"Highest Alchemy skill","Highest Alchemy skill",,1,-1,0,173,1,0,-1,0,0,1527,136243,2771
"Highest Blacksmithing skill","Highest Blacksmithing skill",,1,-1,0,173,3,0,-1,0,0,1532,136243,13719
"Highest Enchanting skill","Highest Enchanting skill",,1,-1,0,173,5,0,-1,0,0,1535,136243,2147
"Highest Leatherworking skill","Highest Leatherworking skill",,1,-1,0,173,17,0,-1,0,0,1536,136243,802
"Highest Mining skill","Highest Mining skill",,1,-1,0,173,19,0,-1,0,0,1537,136243,4004
"Highest Herbalism skill","Highest Herbalism skill",,1,-1,0,173,11,0,-1,0,0,1538,136243,6732
"Highest Inscription skill","Highest Inscription skill",,1,-1,0,173,12,0,-1,0,0,1539,136243,1067
"Highest Jewelcrafting skill","Highest Jewelcrafting skill",,1,-1,0,173,14,0,-1,0,0,1540,136243,8431
"Highest Skinning skill","Highest Skinning skill",,1,-1,0,173,21,0,-1,0,0,1541,136243,1070
"Highest Tailoring skill","Highest Tailoring skill",,1,-1,0,173,22,0,-1,0,0,1542,136243,14965
"Highest Engineering skill","Highest Engineering skill",,1,-1,0,173,9,0,-1,0,0,1544,136243,1073
"Ring of Valor matches","Ring of Valor matches",,1,-1,0,152,16,0,-1,0,0,1545,136243,14327
"Ring of Valor victories","Ring of Valor victories",,1,-1,0,152,17,0,-1,0,0,1546,136243,5132
"Dalaran Sewers matches","Dalaran Sewers matches",,1,-1,0,152,12,0,-1,0,0,1547,136243,5726
"Dalaran Sewers victories","Dalaran Sewers victories",,1,-1,0,152,13,0,-1,0,0,1548,136243,6759
"Strand of the Ancients battles",,,1,607,0,153,14,0,-1,0,0,1549,136243,5233
"Strand of the Ancients victories",,,1,607,0,153,15,0,-1,0,0,1550,136243,5236
"Frenzied Firecracker","Shoot off 10 Festival Firecrackers in 30 seconds or less.",,0,-1,0,160,8,0,-1,10,0,1552,133713,97
"25 Fish","Fish up 25 items.",,0,-1,0,171,41,0,-1,10,0,1556,237301,3127
"50 Fish","Fish up 50 items.",,0,-1,1556,171,42,0,-1,10,0,1557,237301,6972
"100 Fish","Fish up 100 items.",,0,-1,1557,171,43,0,-1,10,0,1558,237301,3124
"250 Fish","Fish up 250 items.",,0,-1,1558,171,44,0,-1,10,0,1559,237301,860
"500 Fish","Fish up 500 items.",,0,-1,1559,171,45,0,-1,10,0,1560,237301,4191
"1000 Fish","Fish up 1000 items.",,0,-1,1560,171,46,0,-1,10,0,1561,237301,3130
"Hail to the Chef","Complete the cooking achievements listed below.","Title Reward: Chef",143360,-1,0,170,55,0,-1,10,0,1563,236571,6975
"Of Blood and Anguish","Complete the Ring of Blood quests in Nagrand and the Ampitheater of Anguish quests in Zul'Drak.",,0,-1,0,96,21,0,-1,10,0,1576,133076,5128
"Guru of Drakuru","Complete the main storyline quests involving Drakuru listed below.",,0,-1,0,14863,18,0,-1,10,0,1596,236860,5239
"Competitor's Tabard","Proud owner of a Competitor's Tabard from the 2008 Spirit of Competition event.",,2048,-1,0,15274,5,0,-1,0,0,1636,236544,14284
"Spirit of Competition","Proud owner of a Spirit of Competition pet from the 2008 Spirit of Competition event.",,2048,-1,0,15274,6,0,-1,0,0,1637,236544,2741
Skyshattered,"Defeat Captain Skyshatter in the Dragonmaw race on Netherwing Ledge.",,0,-1,0,14865,16,0,-1,10,0,1638,132250,10338
"Hallowed Be Thy Name","Complete the Hallow's End achievements listed below.","Title Reward: The Hallowed",131072,-1,0,155,9,0,-1,10,0,1656,236552,4995
"Champion of the Frozen Wastes","Defeat the dungeon and raid bosses listed below.","Title Reward: Champion of the Frozen Wastes",131072,-1,0,168,11,0,-1,10,0,1658,135835,16549
"Loremaster of Eastern Kingdoms","Complete the Eastern Kingdoms quest achievements listed below.",,131072,-1,0,14861,25,0,-1,10,0,1676,236759,65059
"Loremaster of Kalimdor","Complete the Kalimdor quest achievements listed below.",,131072,-1,0,15081,28,0,-1,10,0,1678,236807,10258
Brewmaster,"Complete the Brewfest achievements listed below.","Title Reward: Brewmaster",131072,-1,0,155,8,0,-1,10,0,1683,236701,17098
"Bros. Before Ho Ho Ho's","Use Mistletoe on the Horde ""Brothers"" during the Feast of Winter Veil.",,0,-1,0,156,10,0,0,10,0,1685,134189,15124
"Bros. Before Ho Ho Ho's","Use Mistletoe on the Alliance ""Brothers"" during the Feast of Winter Veil.",,0,-1,0,156,11,0,1,10,0,1686,134189,8625
"Let It Snow","During the Feast of Winter Veil, use a Handful of Snowflakes on each of the race/class combinations listed below.",,0,-1,0,156,9,0,-1,10,0,1687,135849,4889
"The Winter Veil Gourmet","During the Feast of Winter Veil, use your culinary expertise to produce a Gingerbread Cookie, Winter Veil Egg Nog and Hot Apple Cider.",,0,-1,0,156,12,0,-1,10,0,1688,134018,1587
"He Knows If You've Been Naughty","Open one of the presents underneath the Winter Veil tree once they are available.",,0,-1,0,156,13,0,-1,10,1,1689,133202,4672
"A Frosty Shake","During the Feast of Winter Veil, use your Winter Veil Disguise kit to become a snowman and then dance with another snowman in Dalaran.",,0,-1,0,156,14,0,-1,10,0,1690,135850,11114
Merrymaker,"Complete the Winter Veil achievements listed below.","Title Reward: Merrymaker",131072,-1,0,155,15,0,-1,10,0,1691,236705,10392
"Fool For Love","Complete the Love is in the Air achievements listed below.","Title Reward: The Love Fool",131072,-1,0,155,2,0,-1,10,0,1693,236709,11119
"Lovely Luck Is On Your Side","Open a Lovely Dress Box and receive a Lovely Black Dress.",,0,-1,0,187,9,0,-1,10,0,1694,132691,2367
"Dangerous Love","Assist the Steamwheedle Cartel in stopping the sinister Crown Chemical Co. plot.",,0,-1,0,187,3,0,-1,10,1,1695,135767,14524
"The Rocket's Pink Glare","Shoot off 10 Love Rockets in 20 seconds or less.",,0,-1,0,187,14,0,-1,10,0,1696,135448,464
"Nation of Adoration","Complete the Lovely Charm Bracelet daily quest for each Alliance capital.",,0,-1,0,187,11,0,1,10,0,1697,135454,10667
"Nation of Adoration","Complete the Lovely Charm Bracelet daily quest for each Horde capital.",,0,-1,0,187,12,0,0,10,0,1698,135454,8758
"Fistful of Love","Use a Handful of Rose Petals on each of the race/class combinations listed below.",,0,-1,0,187,4,0,-1,10,0,1699,133851,780
Perma-Peddle,"Obtain a permanent Peddlefeet pet by procuring a Truesilver Shafted Arrow.",,0,-1,0,187,13,0,-1,10,1,1700,132382,11185
"Be Mine!","Eat the eight ""Bag of Candies"" heart candies listed below.",,0,-1,0,187,1,0,-1,10,0,1701,135451,10650
"Sweet Tooth","Sample the Love is in the Air candies listed below.",,0,-1,0,187,16,0,-1,10,0,1702,135458,2023
"My Love is Like a Red, Red Rose","Obtain a Bouquet of Red or Ebon Roses during the Love is in the Air celebration.",,0,-1,0,187,10,0,-1,10,1,1703,134927,10660
"I Pitied The Fool","Pity the Love Fool in the locations specified below.",,0,-1,0,187,7,0,-1,10,0,1704,132763,11189
"Clockwork Rocket Bot","Proud owner of the 2007 Vintage Winter Veil gift, the Clockwork Rocket Bot.",,2048,-1,0,15274,7,0,-1,0,1,1705,133202,10253
"Crashin' Thrashin' Racer","Proud owner of the 2008 Vintage Winter Veil gift, the Crashin' Thrashin' Racer.",,2048,-1,0,15274,8,0,-1,0,0,1706,133202,9680
"Battleground with the most Killing Blows","Battleground with the most Killing Blows",,1,-1,0,137,6,1491,-1,0,0,1716,136243,14865
"Wintergrasp Victory","Win the battle for Wintergrasp.",,0,571,0,14901,1,0,-1,10,0,1717,135836,9684
"Wintergrasp Veteran","Win 100 battles for Wintergrasp.",,0,571,1717,14901,2,0,-1,10,0,1718,135836,3766
"Battleground with the most Honorable Kills","Battleground with the most Honorable Kills",,1,-1,0,136,6,382,-1,0,0,1719,136243,9687
"Archavon the Stone Watcher (25 player)","Defeat Archavon the Stone Watcher in 25 player mode.",,0,624,0,14901,12,0,-1,10,0,1721,134449,13722
"Archavon the Stone Watcher (10 player)","Defeat Archavon the Stone Watcher in 10 player mode.",,0,624,0,14901,11,0,-1,10,0,1722,134449,16414
"Vehicular Gnomeslaughter","Kill 100 players in Wintergrasp using a vehicle or a cannon.",,128,571,0,14901,7,0,-1,10,0,1723,132240,14235
"Leaning Tower","Destroy a tower in Wintergrasp.",,0,571,0,14901,8,0,-1,10,1,1727,135764,7735
"Alchemy Recipes learned","Alchemy Recipes learned",,1,-1,0,173,2,0,-1,0,0,1729,136243,5520
"Blacksmithing Plans learned","Blacksmithing Plans learned",,1,-1,0,173,4,0,-1,0,0,1730,136243,3218
"Engineering Schematics learned","Engineering Schematics learned",,1,-1,0,173,10,0,-1,0,0,1734,136243,11269
"Inscriptions learned","Inscriptions learned",,1,-1,0,173,13,0,-1,0,0,1735,136243,9127
"Destruction Derby","Destroy each of the vehicles listed below.",,0,571,0,14901,5,0,1,10,0,1737,135783,14641
"Jewelcrafting Designs learned","Jewelcrafting Designs learned",,1,-1,0,173,15,0,-1,0,0,1738,136243,6534
"Leatherworking Patterns learned","Leatherworking Patterns learned",,1,-1,0,173,18,0,-1,0,0,1740,136243,15133
"Tailoring Patterns learned","Tailoring Patterns learned",,1,-1,0,173,23,0,-1,0,0,1741,136243,14242
"Cooking Recipes known","Cooking Recipes known",,1,-1,0,178,3,0,-1,0,0,1745,136243,10050
"First Aid Manuals learned","First Aid Manuals learned",,1,-1,0,178,6,0,-1,0,0,1748,136243,14647
"Didn't Stand a Chance","Kill 20 mounted players using a tower cannon.",,0,571,0,14901,9,0,-1,10,0,1751,236361,12615
"Master of Wintergrasp","Complete the Wintergrasp achievements listed below.",,135168,-1,0,14901,19,0,-1,10,0,1752,135836,14246
"Archavon the Stone Watcher kills (Wintergrasp 10 player)","Archavon the Stone Watcher kills (Wintergrasp 10 player)",,1,624,0,14823,60,0,-1,10,0,1753,135836,14941
"Archavon the Stone Watcher kills (Wintergrasp 25 player)","Archavon the Stone Watcher kills (Wintergrasp 25 player)",,1,624,0,14823,61,0,-1,10,0,1754,135836,14302
"Within Our Grasp","Attack Wintergrasp and succeed in 10 minutes or less.",,0,571,0,14901,3,0,-1,10,0,1755,135858,14261
"Lich King 25-player bosses defeated","Lich King 25-player bosses killed",,1,-1,0,14807,11,0,-1,0,0,1756,136243,10057
"Defense of the Ancients","Defend the beach without losing any walls.",,0,607,0,14881,5,0,1,10,0,1757,132341,14258
"Lich King 25-player boss defeated the most","Lich King 25-player boss killed the most",,1,-1,0,14807,12,1756,-1,0,0,1760,136243,10189
"The Dapper Sapper","Plant 100 Seaforium charges which successfully damage a wall.",,0,607,0,14881,7,0,-1,10,0,1761,133709,16417
"Not Even a Scratch","Win a Strand of the Ancients battle without losing any siege vehicles.",,0,607,0,14881,9,0,1,10,0,1762,132337,15001
"Artillery Veteran","Destroy 100 vehicles using a turret.",,0,607,0,14881,11,0,-1,10,0,1763,135627,11182
"Drop It!","Kill 100 players carrying seaforium.",,0,607,0,14881,13,0,-1,10,0,1764,132163,12618
"Steady Hands","Disarm 2 seaforium charges in a single battle.",,0,607,0,14881,4,0,-1,10,0,1765,133710,11344
"Ancient Protector","Kill 10 players in the Courtyard of the Ancients in a single battle.",,0,607,0,14881,15,0,-1,10,0,1766,236268,12621
"Lich King 25-player raids completed (final boss defeated)","Lich King 25-player raids completed (final boss killed)",,1,-1,0,14807,6,0,-1,0,0,1768,136243,12879
"Lich King 10-player bosses defeated","Lich King 10-player bosses killed",,1,-1,0,14807,9,0,-1,0,0,1770,136243,9867
"Lich King 10-player boss defeated the most","Lich King 10-player boss killed the most",,1,-1,0,14807,10,1770,-1,0,0,1772,136243,12887
"Beverage consumed most","Beverage consumed most",,1,-1,0,145,17,346,-1,0,0,1773,136243,25451
"Different beverages consumed","Different beverages consumed",,1,-1,0,145,18,346,-1,0,0,1774,136243,25673
"Different foods eaten","Different foods eaten",,33,-1,0,145,21,347,-1,0,0,1775,136243,25909
"Food eaten most","Food eaten most",,17,-1,0,145,20,347,-1,0,0,1776,136243,26423
"The Northrend Gourmet","Cook 15 of the Northrend recipes listed below.",,0,-1,0,170,21,0,-1,10,15,1777,237351,16877
"The Northrend Gourmet","Cook 30 of the Northrend recipes listed below.",,0,-1,1777,170,22,1777,-1,10,30,1778,237354,12664
"The Northrend Gourmet","Cook 45 of the Northrend recipes listed below.",,0,-1,1778,170,23,1777,-1,10,45,1779,237353,16924
"Second That Emotion","Eat each one of the ""emotion"" foods listed below.",,0,-1,0,170,34,0,-1,10,0,1780,135457,14959
"Critter Gitter","Using Critter Bites, coerce 10 critters to be your pet within 3 minutes or less.",,0,-1,0,170,35,0,-1,10,0,1781,134044,12711
"Our Daily Bread","Complete each of the cooking daily quests offered by Katherine Lee in Dalaran.",,0,-1,0,170,46,0,1,10,0,1782,133968,12779
"Our Daily Bread","Complete each of the cooking daily quests offered by Awilo Lon'gomba in Dalaran.",,0,-1,0,170,47,0,0,10,0,1783,133968,12772
"Dinner Impossible","Present a Great Feast in each of the battlegrounds listed below.",,0,-1,0,170,36,0,-1,10,0,1785,132184,14634
"School of Hard Knocks","Take your orphan into the battlegrounds and complete the feats listed below.",,0,-1,0,163,5,0,-1,10,0,1786,132162,14305
"Bad Example","Eat the sweets listed below while your orphan is watching.",,0,-1,0,163,2,0,-1,10,0,1788,133987,9721
"Daily Chores","Complete five daily quests with your orphan out.",,0,-1,0,163,3,0,-1,10,0,1789,132281,14989
"Hail To The King, Baby","Defeat King Ymiron in Utgarde Pinnacle with your orphan out.",,0,-1,0,163,6,0,-1,10,0,1790,236420,10347
"Home Alone","Use your Hearthstone while your orphan is with you.",,0,-1,0,163,1,0,-1,10,0,1791,134414,8635
"Aw, Isn't It Cute?","Obtain one of the Children's Week reward pets through questing.",,0,-1,0,163,4,0,-1,10,1,1792,132199,12941
"For the Children","Complete the Children's Week achievements listed below.","Title Reward: Matron/Patron",131072,-1,0,155,4,0,-1,10,0,1793,134508,12656
"Lunch Lady","Learn 25 cooking recipes.",,128,-1,0,170,37,0,-1,10,25,1795,134022,12963
"Short Order Cook","Learn 50 cooking recipes.",,128,-1,1795,170,38,0,-1,10,50,1796,134021,14992
"Chef de Partie","Learn 75 cooking recipes.",,128,-1,1796,170,39,0,-1,10,75,1797,134016,8936
"Sous Chef","Learn 100 cooking recipes.",,128,-1,1797,170,40,0,-1,10,100,1798,133969,14944
"Chef de Cuisine","Learn 160 cooking recipes.",,128,-1,1798,170,41,0,-1,10,0,1799,134048,14406
"The Outland Gourmet","Cook each of the Outland cooking recipes listed below.",,0,-1,0,170,20,0,-1,10,0,1800,134040,16522
"Captain Rumsey's Lager","Brew up some of Captain Rumsey's Lager.",,0,-1,0,170,45,0,-1,10,0,1801,132790,14717
Defenseless,"Defeat Cyanigosa in The Violet Hold without using Defense Control Crystals and with Prison Seal Integrity at 100% while in Heroic Difficulty.",,0,608,0,14806,48,0,-1,10,0,1816,236511,16971
"The Culling of Time","Defeat the Infinite Corruptor in The Culling of Stratholme on Heroic Difficulty.",,0,595,0,14806,62,0,-1,10,0,1817,236476,14521
"Tastes Like Chicken","Sample 50 different kinds of Azeroth's delectable dishes.",,128,-1,0,92,57,347,-1,10,50,1832,237329,13185
"It's Happy Hour Somewhere","Drink 25 different types of beverages.",,128,-1,0,92,55,346,-1,10,25,1833,133699,12078
"Lightning Struck","Defeat General Bjarngrim in the Halls of Lightning on Heroic Difficulty while he has a Temporary Electrical Charge.",,0,602,0,14806,60,0,-1,10,0,1834,236522,9099
"Old Crafty","Fish up Old Crafty in Orgrimmar.",,0,-1,0,171,16,0,-1,10,1,1836,133921,16566
"Old Ironjaw","Fish up Old Ironjaw in Ironforge.",,0,-1,0,171,17,0,-1,10,1,1837,133917,9736
"Make Quick Werk of Him (10 player)","Defeat Patchwerk in Naxxramas in 3 minutes or less in 10-player mode.",,0,533,0,14922,23,0,-1,10,0,1856,136118,1275
"Make Quick Werk of Him (25 player)","Kill Patchwerk in Naxxramas in 3 minutes or less in 25-player mode.",,0,533,0,14922,24,0,-1,10,0,1857,136182,9733
"Arachnophobia (10 player)","Defeat Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 10-player mode.",,0,533,0,14922,21,0,-1,10,0,1858,236551,6650
"Arachnophobia (25 player)","Kill Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 25-player mode.",,0,533,0,14922,22,0,-1,10,0,1859,236551,10723
"Gotta Go!","Defeat Anub'arak in Azjol-Nerub on Heroic Difficulty in 4 minutes or less.",,0,601,0,14806,41,0,-1,10,0,1860,236464,16570
"Volazj's Quick Demise","Defeat Herald Volazj in Ahn'kahet on Heroic Difficulty in 2 minutes or less.",,0,619,0,14806,42,0,-1,10,0,1862,236461,14986
"What the Eck?","Defeat Gal'darah in Gundrak on Heroic Difficulty while under the effects of Eck Residue.",,0,604,0,14806,52,0,-1,10,0,1864,236486,11273
Lockdown!,"Defeat Xevozz, Lavanthor, Ichoron, Zuramat the Obliterator, Erekem, and Moragg in The Violet Hold on Heroic Difficulty.",,0,608,0,14806,49,0,-1,10,0,1865,236510,10996
"Good Grief","Defeat the Maiden of Grief in the Halls of Stone on Heroic Difficulty in 1 minute or less.",,0,599,0,14806,56,0,-1,10,0,1866,236515,8853
"Timely Death","Defeat Loken in the Halls of Lightning on Heroic Difficulty in 2 minutes or less.",,0,602,0,14806,59,0,-1,10,0,1867,236521,12966
"Make It Count","Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty within 20 minutes of Drakos the Interrogator's death.",,0,578,0,14806,69,0,-1,10,0,1868,236501,11213
"A Poke in the Eye (10 player)","Defeat Malygos with fewer than 9 in 10-player mode.",,0,616,0,14922,45,0,-1,10,0,1869,236507,11004
"A Poke in the Eye (25 player)","Defeat Malygos with fewer than 21 in 25-player mode.",,0,616,0,14922,46,0,-1,10,0,1870,236506,13992
"Experienced Drake Rider","On three different visits to The Oculus, get credit for defeating Ley-Guardian Eregos while riding an Amber, Emerald, and Ruby drake on Heroic Difficulty.",,0,578,0,14806,68,0,-1,10,0,1871,236500,10556
Zombiefest!,"Kill 100 Risen Zombies in 1 minute in The Culling of Stratholme on Heroic Difficulty.",,0,595,0,14806,63,0,-1,10,0,1872,237521,13753
"Lodi Dodi We Loves the Skadi","Defeat Skadi the Ruthless in Utgarde Pinnacle on Heroic Difficulty within 3 minutes of starting the gauntlet event.",,0,575,0,14806,65,0,-1,10,0,1873,236530,9012
"You Don't Have an Eternity (10 player)","Defeat Malygos in 6 minutes or less in 10-player mode.",,0,616,0,14922,43,0,-1,10,0,1874,236504,9042
"You Don't Have an Eternity (25 player)","Defeat Malygos in 6 minutes or less in 25-player mode.",,0,616,0,14922,44,0,-1,10,0,1875,236504,16974
"Besting the Black Dragonflight (10 player)","Defeat Sartharion the Onyx Guardian in 10-player mode.",,0,615,0,14922,1,0,-1,10,0,1876,236469,8988
"Less Is More (25 player)","Defeat Sartharion the Onyx Guardian and the Twilight Drakes with fewer than 21 players in 25-player mode.",,0,615,0,14922,4,0,-1,10,0,1877,236471,10133
"On The Rocks","Defeat Prince Keleseth in Utgarde Keep on Heroic Difficulty without shattering any Frost Tombs.",,0,574,0,14806,35,0,-1,10,0,1919,236209,9864
"Does Your Wolpertinger Linger?","Obtain a Wolpertinger pet from the Brewfest quest line.",,0,-1,0,162,3,0,-1,10,1,1936,132800,2093
"Higher Learning","Read the volumes of ""The Schools of Arcane Magic"" found in Dalaran listed below.","Reward: The Schools of Arcane Magic - Mastery",0,571,0,14780,12,0,-1,10,0,1956,133743,9029
"There's Gold In That There Fountain","Fish up the gold coins listed below from the Dalaran fountain.",,0,571,0,171,38,0,-1,10,0,1957,237281,13736
"I Smell A Giant Rat","Fish up the Giant Sewer Rat from The Underbelly in Dalaran.",,0,-1,0,171,39,0,-1,10,1,1958,134324,4066
"Dalaran Cooking Awards gained","Dalaran Cooking Awards gained",,1,-1,0,178,4,0,-1,0,0,1976,136243,10350
"Dalaran Jewelcrafter's Tokens gained","Dalaran Jewelcrafter's Tokens gained",,1,-1,0,173,16,0,-1,0,0,1977,136243,12411
"The Safety Dance (10 player)","Defeat Heigan the Unclean in Naxxramas without anyone in the raid dying in 10 player mode.",,0,533,0,14922,25,0,-1,10,0,1996,132301,15196
"Momma Said Knock You Out (10 player)","Defeat Grand Widow Faerlina in Naxxramas without dispelling or preventing frenzy in 10 player mode.",,0,-1,0,14922,27,0,-1,10,0,1997,136138,8741
"Cooking Award","Obtain a Cooking Award.",,0,-1,0,170,29,0,-1,10,1,1998,134411,14492
"10 Cooking Awards","Obtain 10 Cooking Awards.",,128,-1,1998,170,30,0,-1,10,0,1999,134411,13763
"25 Cooking Awards","Obtain 25 Cooking Awards.",,128,-1,1999,170,31,0,-1,10,0,2000,134411,13756
"50 Cooking Awards","Obtain 50 Cooking Awards.",,136,-1,2000,170,32,0,-1,10,0,2001,134411,7024
"100 Cooking Awards","Obtain 100 Cooking Awards.",,136,-1,2001,170,33,0,-1,10,0,2002,134411,11220
"Grizzled Veteran","Complete the Grizzly Hills PvP daily quests listed below.",,0,-1,0,95,41,0,1,10,0,2016,236776,14499
"Grizzled Veteran","Complete the Grizzly Hills PvP daily quests listed below.",,0,-1,0,95,42,0,0,10,0,2017,236776,14510
"Timear Foresees","Complete the Northrend daily dungeon quests listed below.",,2048,-1,0,15234,8,0,-1,0,0,2018,135737,10118
"Proof of Demise","Completed the Northrend daily dungeon quests listed below.",,2048,-1,0,15234,6,0,-1,0,0,2019,236266,9740
"Intense Cold","Defeat Keristrasza in The Nexus on Heroic Difficulty without allowing Intense Cold to reach more than two stacks.",,0,576,0,14806,37,0,-1,10,0,2036,236208,9015
"Chaos Theory","Defeat Anomalus in The Nexus on Heroic Difficulty without destroying any Chaotic Rifts.",,0,576,0,14806,38,0,-1,10,0,2037,236496,10124
"Respect Your Elders","Defeat Elder Nadox in Ahn'kahet on Heroic Difficulty without killing any Ahn'kahar Guardians.",,0,619,0,14806,43,0,-1,10,0,2038,237373,8738
"Better Off Dred","Engage King Dred in Drak'Tharon Keep on Heroic Difficulty and slay 6 Drakkari Gutrippers or Drakkari Scytheclaw during his defeat.",,0,600,0,14806,46,0,-1,10,0,2039,236192,12624
Less-rabi,"Defeat Moorabi in Gundrak on Heroic Difficulty while preventing him from transforming into a mammoth at any point during the encounter.",,0,604,0,14806,54,0,-1,10,0,2040,237399,14321
Dehydration,"Defeat Ichoron in the Violet Hold on Heroic Difficulty without allowing any Ichor Globules to merge.",,0,608,0,14806,50,0,-1,10,0,2041,135862,14950
"Shatter Resistant","Defeat Volkhan in the Halls of Lightning on Heroic Difficulty without allowing him to shatter more than 4 Brittle Golems.",,0,602,0,14806,61,0,-1,10,0,2042,135818,16874
"The Incredible Hulk","Force Svala Sorrowgrave to kill a Scourge Hulk on Heroic Difficulty in Utgarde Pinnacle.",,0,575,0,14806,64,0,-1,10,0,2043,136219,14676
"Ruby Void","Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty without anyone in your party using a Ruby Drake.",,0,578,0,14806,70,0,-1,10,0,2044,236234,8752
"Emerald Void","Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty without anyone in your party using an Emerald Drake.",,0,578,0,14806,71,0,-1,10,0,2045,236231,14720
"Amber Void","Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty without anyone in your party using an Amber Drake.",,0,578,0,14806,72,0,-1,10,0,2046,236232,5103
"Gonna Go When the Volcano Blows (10 player)","Defeat Sartharion the Onyx Guardian without getting hit by Lava Strike in 10 player mode.",,0,615,0,14922,49,0,-1,10,0,2047,237583,6210
"Gonna Go When the Volcano Blows (25 player)","Defeat Sartharion the Onyx Guardian without getting hit by Lava Strike in 25-player mode.",,0,615,0,14922,50,0,-1,10,0,2048,237583,13733
"Twilight Assist (10 player)","With at least one Twilight Drake still alive, engage and defeat Sartharion the Onyx Guardian in 10-player mode.",,0,615,0,14922,51,0,-1,10,0,2049,236473,5567
"Twilight Duo (10 player)","With at least two Twilight Drakes still alive, engage and defeat Sartharion the Onyx Guardian in 10-player mode.",,0,615,2049,14922,52,0,-1,10,0,2050,236473,8850
"The Twilight Zone (10 player)","With all three Twilight Drakes still alive, engage and defeat Sartharion the Onyx Guardian in 10-player mode.","Title Reward: Of the Nightfall",0,615,2050,14922,53,0,-1,10,0,2051,236473,12653
"Twilight Assist (25 player)","With at least one Twilight Drake still alive, engage and defeat Sartharion the Onyx Guardian in 25-player mode.",,0,615,0,14922,54,0,-1,10,0,2052,236473,14670
